OptionRef,Task ID,Task Title,Task Description,Complexity,Primary Role,Notes,Predecessors,Client Dependencies,Deliverables,Acceptance Criteria,Orchestration Integration,Monitoring & Alerting,Schedule / Frequency
F.01.1.A,F01.1.A.T08,Naming & schema evolution policy,"Decide destination naming (source vs vendor naming), case strategy, and rules for schema drift (new columns, PK changes).",Low,SDA,,F01.1.A.T06,Vendor capabilities; downstream consumer preferences,Naming convention; drift handling policy,Policy approved by data governance,,,
F.01.1.A,F01.1.A.T09,Destination schema & warehouse provisioning,Create destination DB/Schema(s) and dedicated warehouses; configure auto-suspend/resume and resource monitors.,Low,DE,,F01.1.A.T04,Snowflake admin access,Provisioned DB/Schema/Warehouse objects,Test queries succeed; guardrails in place,,,
F.01.1.A,F01.1.A.T10,Standardize metadata columns,"Define vendor system columns + LEIT standard fields (ingestion_ts, source_system, load_batch_id) and document downstream usage.",Low,DE,,F01.1.A.T08,Agreement on metadata model; vendor capabilities,Metadata column spec; DDL,Columns present and populated in targets,,,
F.01.1.A,F01.1.A.T11,Create reference tables (registry & dependencies),"Create REF tables to register sources/tables, sync settings, and dependency groups for orchestration.",Medium,SDE,,F01.1.A.T07,Snowflake DDL privileges,"REF_TABLE_REGISTRY, REF_DEPENDENCY_EDGES, REF_DEPENDENCY_GROUPS, REF_SLA",Tables exist and are queryable,,,
F.01.1.A,F01.1.A.T12,Configure connector authentication,Create destination user/role and secrets; configure vendor connection using key pair or password per standards.,Low,DE,,F01.1.A.T04,Secrets manager; Snowflake user/role created,Connector authenticated to destination,Connection test passes in vendor UI,,,
F.01.1.A,F01.1.A.T13,Select tables & columns; PKs and CDC options,Enable required schemas/tables; confirm PKs; enable deletes capture/soft delete; exclude low-value objects.,Medium,SDE,,"F01.1.A.T06,F01.1.A.T08",Source owner approvals; PK availability,Connector selection config export,Selection matches inventory; change capture enabled,,,
F.01.1.A,F01.1.A.T14,Set sync schedule & SLAs,Set frequency to meet freshness SLAs; document schedule and offsets; define daily window if applicable.,Low,DE,,F01.1.A.T05,Business freshness targets; vendor plan limits,Configured schedule; documentation,Schedule meets SLA with buffer,,,
F.01.1.A,F01.1.A.T15,Run initial load (backfill),Execute historic full load in off-peak window; monitor resource usage; verify counts.,Medium,SDE,,"F01.1.A.T13,F01.1.A.T14",Source load tolerance; maintenance window,Initial load completion report,Row counts and checksums match tolerances,,,
F.01.1.A,F01.1.A.T16,Cutover to CDC,Enable continuous sync; verify CDC behavior; check deletes handling and latency.,Medium,SDE,,F01.1.A.T15,Stable initial state; vendor CDC configured,CDC enabled with lag metrics,Lag within SLA for 3 consecutive days,,,
F.01.1.A,F01.1.A.T17,Freshness/latency monitoring,Implement lag queries vs. source timestamps; store metrics and alert on threshold breaches.,Medium,SDE,,F01.1.A.T16,,Lag dashboard + alerts,Alerts trigger on simulated lag,,,
F.01.1.A,F01.1.A.T18,Data quality checks,"Implement row-count, PK uniqueness, and null checks on critical columns; schedule validations post-sync.",Medium,SDE,,F01.1.A.T16,,DQ checks + notifications,All checks passing or documented exemptions,,,
F.01.1.A,F01.1.A.T19,Integrate with Airflow (start + wait),Use vendor API/operator to trigger syncs and sensors to wait for completion; gate downstream dbt/refreshes.,Medium,SDE,,"F01.1.A.T14,F01.1.A.T16",,DAG that triggers/waits on connector,DAG runs end-to-end with gating,Airflow operator + sensor,,
F.01.1.A,F01.1.A.T19a,Generate DAG constraints from dependency graph,Emit DAG edges so parent tasks complete before children; integrate dependency layers/groups.,Medium,SDE,,"F01.1.A.T19,F01.1.A.T07b",,DAG section defining upstream/downstream per FK graph,DAG honors parent-first ordering in test runs,Airflow: task groups by dependency layer,,
F.01.1.A,F01.1.A.T20,Scheduling alignment with downstream,Align DAG schedules to connector completion; consider offsets and long runs; avoid overlaps.,Low,SDA,,F01.1.A.T19,,Coordinated schedules,No contention; SLAs met,,,
F.01.1.A,F01.1.A.T21,Operational runbook & incident response,"Document failure modes, re-sync procedures, schema change handling, and contact trees; include vendor support steps.",Low,SDA,,F01.1.A.T16,,Runbook in Confluence,Reviewed by ops; on-call briefed,,,
F.01.1.A,F01.1.A.T22,Knowledge transfer & sign-off,"Deliver walkthrough and handover, including dashboards, DQ results, and runbook.",Low,SDA,,F01.1.A.T21,,KT session; recorded demo,Sign-off from client PM and data owner,,,
F.01.1.A,F01.1.A.T23,Define additional business metadata columns,"Add standardized business metadata columns (e.g., record_source, business_unit, data_sensitivity) for governance and lineage.",Low,SDA,,F01.1.A.T10,Data governance catalog fields,Metadata column spec & DDL,Columns present and populated in target,,,
F.01.1.A,F01.1.A.T24,Group objects by transactional integrity (from SOURCE FK graph),Persist dependency groupings derived from SOURCE FKs into reference tables; use for parent-first DAG ordering and validation.,Medium,SDE,,"F01.1.A.T07,F01.1.A.T11",,REF_DEPENDENCY_GROUPS populated,Downstream DAG uses grouping correctly,,,
F.01.1.A,F01.1.A.T25,Table selection refinement,Refine enabled table list based on usage analytics and SLA; exclude low-value/high-churn tables; document rationale.,Low,DE,,F01.1.A.T16,,Updated selection; change log,Change approved; sync time reduced,,,
F.01.1.A,F01.1.A.T26,Alert routing & escalation,"Integrate vendor alerts and custom Snowflake checks into client’s tooling (e.g., Slack, PagerDuty, email).",Low,DE,,"F01.1.A.T17,F01.1.A.T18",,Unified alerting with clear ownership,Test alerts reach correct groups,,,
F.01.1.A,F01.1.A.T27,Cost monitoring dashboard,Track warehouse credits and storage; attribute costs to connector workload; alert on anomalies.,Low,DE,,"F01.1.A.T05,F01.1.A.T16",,Cost dashboard,Monthly report generated,,,
